Segment,Sex,#,city,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,type_shoes,three_words_1,three_words_2,three_words_3,expected_spending,difference_easy_to_tell,difference_running_shoes_trainers_1,difference_running_shoes_trainers_2,difference_running_shoes_trainers_3,difference_running_shoes_trainers_4,difference_running_shoes_trainers_5,difference_running_shoes_trainers_6,difference_running_shoes_trainers_7,difference_running_shoes_trainers_8,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,more_confident_if_10,know_which_features, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,too_expensive,is_a_hassle,need_expert_advice,benefits_over_trainers,thanks,Score,Start Date (UTC),Submit Date (UTC),Network ID
Young Professional,Male,kvy5usipaft6s58ykvy5usipj5hno0w8,Limoges,1 to 2 times per week,,,Trail,Track,Advanced,,,,,,,,,,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Rebound,Lightweight,Comfort,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,Price,,,Totally Agree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,Lightness,,Bounce and cushioning,Price,,,,Neither agree nor disagree,Disagree,Agree,Totally Agree,1,0,23/02/2020 20:05,23/02/2020 20:52,80d4b08b5d
Young Professional,Male,jtv7va0utk1tzjyipvfjtv7vaxdriqth,Berck,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Lightweight,Comfortable,And,Between 150 and 200 €,Totally Agree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Disagree,Disagree,Neither agree nor disagree,Totally Agree,0,0,23/02/2020 20:47,23/02/2020 20:51,54819b7daf
Young Professional,Male,wh24gqh699dtms3jxuqj0wh24gqhx4u8,Haguenau,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Comfort,Stability,Protection,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Agree,,,,,Lightness,,Bounce and cushioning,Price,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Totally Agree,1,0,23/02/2020 20:09,23/02/2020 20:12,44565640b4
Young Professional,Male,11yapfknfzmc23hejrpm611yapz58336,Calais,3 to 4 times a week,,Road,,,Advanced,,,I like to measure myself against others.,,,,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Dynamic,Comfortable,Nice,Between 50 and 100 €,Totally Agree,Design / Style,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,I knew they were good value for money,I knew other people like me had bought them,,,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Totally Agree,not agree at all,not agree at all,Totally Agree,1,0,23/02/2020 20:00,23/02/2020 20:05,204daee039
Young Professional,Male,px85ab8qjk3amobglxopx85ab8qmqs2o,The sands of Olonne,Sometimes,,Road,,Track,Beginner,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Quality,Comfort,Longevity,Between 100 and 150 €,Agree,Design / Style,,,Technology,,,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Disagree,Disagree,Agree,Agree,1,0,23/02/2020 19:53,23/02/2020 20:01,678fe7fef4
Young Professional,Male,9y42zjyhyjwcrze9y42zqrsnix99auvz,Bourg en Bresse,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Comfortable,Holding,The,Between 50 and 100 €,Agree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Disagree,Disagree,Agree,1,0,23/02/2020 19:47,23/02/2020 19:53,e9edfba1ad
Young Professional,Male,ne9qoo9xhsizy75ha1dne9qjp0etnzh0,grenoble,1 to 2 times per week,,,Trail,,Intermediate,,,,,,,,,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Strength,Cushioned,Comfort,Between 100 and 150 €,Totally Agree,,,,Technology,,,,,Totally Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,0,0,23/02/2020 19:31,23/02/2020 19:35,931f17723c
Young Professional,Male,eopuw2kre2uki407k8eopuw23uj8doth,Paris,1 to 2 times per week,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Legere,,,Between 50 and 100 €,Totally Agree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,Agree,Agree,Agree,1,0,23/02/2020 18:56,23/02/2020 18:59,d971ec6b28
Young Professional,Male,n3tmpjg5e7yqbgngyhpsmban3tmpjgtn,Evry,1 to 2 times per week,,,,Track,Advanced,,,,,,,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Cushioning,Lightweight,Comfort,Between 50 and 100 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,0,0,22/02/2020 12:52,22/02/2020 12:56,ef9defea75
Young Professional,Male,hxug5jkpxxijnoot0hxug5rf3ar7w7de,the chesnay,1 to 2 times per week,,Road,Trail,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Cushioning,Strength,Weight,Between 150 and 200 €,Totally Agree,Design / Style,,,,,,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Agree,Agree,Disagree,1,0,22/02/2020 10:20,22/02/2020 10:23,660d96c3cd
Young Professional,Male,uf2jcuv6ulizfs7wuf2jcudurrbkv2u0,Champagne sur Oise,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,I want to race.,,,Running Shoes,Lightweight,Cushioned,Comfort,Between 100 and 150 €,Neither agree nor disagree,,,,Technology,Footwear / Comfort,Price,"Benefits (eg. Speed, movement and comfort)",,Agree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,Protection against injuries,,,,Maintenance / anti-pronation,,,,Adaptation to a given surface (eg. Track rather than road),,Disagree,Neither agree nor disagree,Agree,Agree,1,0,22/02/2020 10:16,22/02/2020 10:21,cd234cbd3b
Young Professional,Male,e95cah18l7rqsrcitf5e95cah18bkgiy,Nice,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Comfortable,Ergonomic,Lightweight,Between 50 and 100 €,Neither agree nor disagree,,,,,,,,I am not sure),Neither agree nor disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,Protection against injuries,,,Lightness,,,,Fit and comfort,,,Agree,Agree,Agree,Agree,1,0,22/02/2020 08:53,22/02/2020 09:01,ad954abc58
Young Professional,Male,cpda6nsb1cgxprszpcpda6n2prjeq78p,Nice,3 to 4 times a week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,I want to race.,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Lightweight,Comfortable,Performance,Between 100 and 150 €,Agree,Design / Style,,,Technology,,,,,Neither agree nor disagree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,I had seen advertising / promotions / consumer reviews,,,,,Disagree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Agree,Agree,Totally Agree,1,0,22/02/2020 08:22,22/02/2020 08:27,9b02375a14
Young Professional,Male,56kl2dm300sasqx6vj7m56kl2vo2xdpb,Annecy,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,I want to race.,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Lightweight,Comfortable,Amortized,Between 100 and 150 €,Agree,Design / Style,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,I knew they were good value for money,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,Neither agree nor disagree,,Protection against injuries,,Shock absorption,,,,,Fit and comfort,,,Neither agree nor disagree,Agree,Agree,Agree,1,0,21/02/2020 21:35,21/02/2020 21:39,083fba8409
Young Professional,Male,axblp3xag67i6xw9h41qaxblp3nrfvxe,Cholet,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Running Shoes,Lightweight,Dynamic,Comfortable,Between 50 and 100 €,Totally Agree,,,Durability,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Neither agree nor disagree,,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Agree,Neither agree nor disagree,Agree,Totally Agree,1,0,21/02/2020 21:09,21/02/2020 21:15,35f9bade8e
Young Professional,Male,m128aqg3yvfpwu226drs5sam128aqf25,Biarritz,3 to 4 times a week,,,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Cushioned,Comfort,Strength,Between 100 and 150 €,Agree,,,,Technology,,,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Disagree,,Protection against injuries,Durability,,Lightness,,,,,,,Disagree,Agree,Agree,Agree,1,0,21/02/2020 20:53,21/02/2020 20:57,6803ed77eb
Young Professional,Male,24z9iyp5c23pg78iw16gyqln24z9iyp5,Rennes,3 to 4 times a week,,Road,,,Advanced,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Comfort,Reactivity,Endurance,Between 50 and 100 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Agree,Disagree,Agree,0,0,21/02/2020 20:28,21/02/2020 20:32,4642d4cd58
Young Professional,Male,xcwmtlvernp8d8fxcwmtp4idjmkvqjjc,Paris,I do not practice running,,Road,,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,I am not sure),Comfort,,,Over 200 €,not agree at all,,,,,,,,I am not sure),not agree at all,,I knew they were good value for money,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,not agree at all,,,,Shock absorption,,,Bounce and cushioning,Price,,,,Neither agree nor disagree,Totally Agree,Totally Agree,not agree at all,1,0,21/02/2020 20:11,21/02/2020 20:23,dc9d105814
Young Professional,Male,u95yp2lqhonu3jk8lyvfttu95yppfu2m,Lausanne,5 times a week or more,,Road,,Track,Advanced,It helps me keep my mind and body in shape.,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Flexible,Dynamic,Enduring,Between 100 and 150 €,Totally Agree,Design / Style,Color pallet,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,Color / Design,,,,Lightness,,,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Disagree,Agree,Totally Agree,1,0,21/02/2020 19:55,21/02/2020 19:58,77c0e8dffb
