Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Professional,Female,4 to 6 months,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Light,mixed,terrain,Between 100 and 150 €,At the store,,Visit store,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,Staff poor knowledge about products,,,,,,,,,Disagree,37-45 years,Employee,No
Mature Family,Male,0 to 3 months,1 to 2 times per week,,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Flexibility,comfort,grip,Between 50 and 100 €,Online,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable,,,,,,Making the difference between products with different prices,,,,Too many options to choose from,,,,Differentiate between the different models of running shoes,,,Making the difference between products with different prices,,,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Strongly Agree,37-45 years,Employee,Yes
Mature Professional,Female,7 to 12 months,I do not practice running,,Road,,,Beginner,,,,,,,,,,,,This allows me to spend time with friends.,,,,,,,,,I use them for fast walking.,Flexible,light,comfortable,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,I don't buy shoes online,,,,,Staff poor knowledge about products,,,,,,Too many options to choose from,,,Strongly Agree,55+,Employee,No
Retired,Female,0 to 3 months,1 to 2 times per week,Sports Hall,,,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Comfort,,,Between 100 and 150 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,,Maintenance / anti-pronation,,,,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Strongly Agree,55+,Retirement,No
Empty Nester,Female,More than 12 months,I do not practice running,,,,Track,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Flexibility,Cushioning,holds,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,Limited product selection,,,,Agree,55+,Employee,Yes
Mature Family,Female,0 to 3 months,I do not practice running,,,,Track,Beginner,,,,,,,,,This helps me to spend time with my kids or show them an example.,,,,,,,,,I need to replace old shoes.,,,,Support,flexibility,cushioning,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,Shock absorption,,,,Price,,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,Finding a suitable product for my personal needs,,,,,Too many options to choose from,Limited product selection,,,Differentiate between the different models of running shoes,,,,,Presentation of unclear shoes,,,,,Too many options to choose from,,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Family,Male,More than 12 months,1 to 2 times per month,,Road,,,Beginner,,,,,,,,,This helps me to spend time with my kids or show them an example.,,,,,,,,,I need to replace old shoes.,,,,Comfort,flexibility,quality,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,Bounce and cushioning,Price,,,,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,I only buy them in a store,Differentiate between the different models of running shoes,,,,,,,,,,,,,Disagree,46-55 years,Employee,Yes
Retired,Male,More than 12 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,,,,,,,I need to replace old shoes.,,,,Stable,cushioning,resistant,Between 150 and 200 €,At the store,,,,,,I was a podiatrist,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,,,Stability (anti-pronation and anti-supination),Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,They rave about the products' gadgets but talk very little about the possible weak points ,Differentiate between the different models of running shoes,,,,,Presentation of unclear shoes,,,,,,,Same answer as before,Strongly Agree,55+,Retirement,Yes
Mature Family,Female,4 to 6 months,I do not practice running,,,,Track,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Comfortable,light,resistant,Between 50 and 100 €,At the store,,,Advice from friends or family members,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Neither agree nor disagree,,,I knew other people like me had bought them,,,,,,,,,Finding a suitable product for my personal needs,,,Differences in language different websites in terms of product description,,,,,,,,,,,Presentation of unclear shoes,,,Identify running shoes compared with running shoes,,,,,Strongly Agree,37-45 years,Employee,Yes
Retired,Female,7 to 12 months,1 to 2 times per week,,Road,,Track,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,good,cushioning,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,Shock absorption,,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,Too many options to choose from,,,,,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,,,,,,,,,Strongly Agree,55+,Retirement,Yes
Mature Family,Female,0 to 3 months,3 to 4 times a week,Sports Hall,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Light,good,cushioning,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,Price,,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,Staff poor knowledge about products,,,No system / tool to choose the right pair of shoes,,,,,,Neither agree nor disagree,37-45 years,Employee,Yes
Mature Family,Female,I do not have running shoes,I do not practice running,,Road,,,Beginner,,,,,,,,,,,I love discovering new environments.,,,,,,,,,,I haven’t bought running shoes,Comfortable,waterproof,and,<50 €,At the store,,Visit store,,,,,no preference,"Store brand, eg. Nike",,,,Shock absorption,,,Bounce and cushioning,Price,,,,Agree,,I knew they were good value for money,,,,,,,,,,,,,,,,,no frustration,,,,,,Staff poor knowledge about products,,,,,,,,,Agree,46-55 years,Employee,Yes
Young Professional,Male,7 to 12 months,1 to 2 times per month,,Road,,,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,I need to replace old shoes.,,,,Comfortable,light,,<50 €,At the store,,,,research online and in-store visit,,,"Store brand, eg. Nike, Adidas","Store brand, eg. Nike",,,Durability,,Lightness,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,,,,High prices,Disagree,23-30 years,Employee,No
Mature Family,Female,4 to 6 months,1 to 2 times per week,,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,"I like to collect new equipment, clothes, shoes, etc.",,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,I plan to run more often.,,I want to race.,"I set myself a goal of health, eg. losing weight.",,Comfortable,high,performance,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,,,,,,,,Finding a suitable product for my personal needs,,Identify running shoes compared with running shoes,,,,Limited product selection,,,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,,,,,,,,,,,Strongly Agree,37-45 years,Employed part time,Yes
Full Time Student,Female,0 to 3 months,3 to 4 times a week,,,Trail,Track,Advanced,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Comfortable,dynamic,cushioning,Between 100 and 150 €,Online,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Store brand, eg. Nike",,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,Not being able to try them on,,,,,,,,,,Limited product selection,,,,Agree,16-22 years,Student,No
Mature Family,Female,4 to 6 months,1 to 2 times per month,,Road,,,Beginner,,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,,,,,Comfort,cushioning,flexibility,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,,,,,,,,,Too many options to choose from,,,Agree,37-45 years,Employee,Yes
Mature Professional,Female,0 to 3 months,1 to 2 times per week,,,Trail,,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,,,,"Just to go running, without doing myself harm.",Good,support,absorbs,Between 50 and 100 €,At the store,,Visit store,,,,Advice from a salesperson,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,Lightness,,,,,,,Disagree,,I knew they were good value for money,,,,,,,,,,,,,,,,,,I have not made an online purchase,,,,,,,Not knowing exactly where to find the radius of running shoes,,,Limited product selection,,,,Strongly Agree,46-55 years,Employee,No
